NAME OF THE SCHOLARSHIPS,ORGANISATION ,ELIGIBILITY,AMOUNT,LINKS,TYPES,FIELD OF STUDY,EXAM,APPLICATION FEES,,
 Commonwealth Scholarship and Fellowship, Commonwealth Scholarships Commission ,NA,"�Rs 31,60,764/-",https://www.britishcouncil.in/study-uk/scholarships/commonwealth-scholarships,Scholarship,Post Graduate,NA,NA ,International,
  Rhodes Scholarships ,Oxford University," Rhodes Scholars must have completed a Bachelor�s degree before coming up to Oxford, to a sufficiently high standard to meet both the Rhodes and the Oxford criteria"," Rs 83,78,255",https://studyabroad.shiksha.com/scholarships/rhodes-scholarship-mba,Scholarship,Post Graduate,IELTS,NA ,International,
Italian Government Scholarships for Foreign Students,Italian Government,NA,NA,https://studyinitaly.esteri.it/en/call-for-procedure,Scholarship,Post Graduate,Application Process ,NA ,International,
Fulbright-Nehru Master's Fellowships,USIEF ,finished a bachelor�s degree and have an experience of at least 3 years.,NA,http://www.usief.org.in/Fellowships/Fellowships-for-Indian-Citizens.aspx,Fellowship,Post Graduate, rigorous application and interview process,NA ,International,
The Hong Kong PhD Fellowship Scheme(HKPFS),Research Grants Council(RGC),"Academic excellence,Research ability and potential,Communication and interpersonal skills,","INR 3,82,464","https://greatyop.com/hong-kong-phd-fellowship-scheme/#:~:text=This%20Asia%20scholarship%20program%20provides,the%202021%2F22%20academic%20year.",Fellowship,Phd,"Initial Application to the Research Grants Council, Full Applications to Proposed Universities",NA ,International,
Mpower Women in Stem Scholarship,Mpower financing,"Be accepted at, or enrolled in, a full-time degree program at a U.S. or Canadian school that MPOWER supports, and Be an international student allowed to legally study in the U.S. or Canada, as applicable","Rs. 4,50,000",https://www.scholarshipsinindia.com/mpower-women-in-stem-scholarship.html,Scholarship,Post Graduate,Application Process ,NA ,International,
Mpower MBS scholarship,Mpower financing,"Be admitted to, or enrolled in, a full-time MBA degree program at a U.S. or Canadian school that MPOWER supports, and be an international student permitted to legally study in the U.S. or Canada, as applicable:","Rs. 70,00,000",https://www.scholarshipsinindia.com/mpower-mba-scholarship.html,Scholarship,Post Graduate,Application Process ,NA ,International,
The IAN parry scholarship,The IAN Parry Organization,young photographers who are either attending a full time photographic course or are under 24 years old," Rs.  2,80,000 ",https://www.scholarshipsinindia.com/the-ian-parry-scholarship.html,Grant,Project,Submission of portfolio of 12 photographs and Statement of Purpose,NA ,International,
SEEEDS scholarship for higher education,SEEEDS organization,"12th standard students aspiring to join medical , paramedical, engineering, commerce, arts, science courses",NA,https://www.scholarshipsinindia.com/seeeds-scholarships-for-higher-education.html,Scholarship,Graduate,Application Process ,NA ,International,
SW Solar Scholarship for Students pursuing Fulltime ITI,Sterling and Wilson,Minimum 35% in 10th standard,"Rs. 10,00,000",https://www.scholarshipsinindia.com/sterling-and-wilson-solar-scholarship-for-students-pursuing-fulltime-iti.html,Scholarship,Graduate,Application Process ,NA ,International,
