CTU Scholarships,The scholarship is intended for foreign students who wish to take a Master study programme at CTU and who display qualities that entitle them to the award of this scholarship. ...,https://www.scholarshipportal.com/scholarship/ctu-scholarships,Master,EUR 400 per month,NA,NA
Excellence in Ethics Scholarship,"Excellence in Ethics Scholarship is available to current students of the university, who demonstrated an excellence in ethics. ...",https://www.scholarshipportal.com/scholarship/excellence-in-ethics-scholarship,"Bachelor, , Master, , Phd",EUR 400,NA,NA
Arts and Sports Activity Scholarship,Arts and Sports Activity Scholarship is available to current students of the university that demonstrated excellent results in sports activities. ...,https://www.scholarshipportal.com/scholarship/arts-and-sports-activity-scholarship,"Bachelor, , Master, , Phd",EUR 120,NA,NA
CTU Grants for Study Abroad,"To support student mobility, the rector of CTU in Prague announces the establishment of a special-purpose fund for students going to study abroad (double degree, or obtaining a degree under dual supervision) and students going abr...",https://www.scholarshipportal.com/scholarship/ctu-grants-for-study-abroad,Master,EUR 480 per month,NA,NA
University Choral Scholarships,Canterbury Christ Church University is delighted to offer twelve Choral Scholarships and three Organ/Conducting Scholarships. Scholarship holders may be reading any subject at either graduate or postgraduate level. ...,https://www.scholarshipportal.com/scholarship/university-choral-scholarships,"Bachelor, , Master, , Phd","Up to £1,000 per year",04-Oct-22,NA
SPORT SCHOLARSHIP SCHEME,"Canterbury Christ Church University is committed to supporting student athletes to succeed in both their academic and sporting pursuits, through their Sport Scholarship programme. ...",https://www.scholarshipportal.com/scholarship/sport-scholarship-scheme,"Bachelor, , Master, , Phd","Up to £1,500",31-Aug-22,NA
International Student Scholarship 2022/23 and 2023/24,An International Student Scholarship fee discount is available for international students starting an undergraduate or postgraduate course at Canterbury Christ Church University. ...,https://www.scholarshipportal.com/scholarship/international-student-scholarship-202223-and-202324,"Bachelor, , Master, , Phd","£1,500",NA,NA
Canterbury Christ Church University/Bore Place Scholarship,Canterbury Christ Church University welcomes applications for one full-time or one part-time Master’s by Research scholarship. ...,https://www.scholarshipportal.com/scholarship/canterbury-christ-church-universitybore-place-scholarship,Master,tuition fees for one year full-time,01-Sep-22,NA
QUT Excellence Scholarship (Creative Industries),These scholarships recognize excellence in creative pursuits and signal QUT's intention to attract the best students to creative industries disciplines. ...,https://www.scholarshipportal.com/scholarship/qut-excellence-scholarship-creative-industries,Bachelor,"$10,000 each ($5,000 per year)",NA,NA
UANDES PDT Scholarship (Public and Subsidized Schools),"UANDES PDT Scholarship (Public and Subsidized Schools) is an automatically assigned academic scholarship, in which they grant you coverage for tuition and annual fee of the career, if you are summoned and meet the required weighte...",https://www.scholarshipportal.com/scholarship/uandes-pdt-scholarship-public-and-subsidized-schools,"Bachelor, , Master, , Phd",30% and 100% in tuition and annual fee,NA,NA
Kawashima Shoji Memorial Foundation,"The scholarship is available to graduate students, that want to major in Humanities, Sociology, and Natural Sciences. ...",https://www.scholarshipportal.com/scholarship/kawashima-shoji-memorial-foundation,"Master, , Phd",EUR 700,01-Dec-22,NA
Sato Yo International Scholarship Foundation,"The scholarship is available for students from undergraduate level, who have at least 1 academic year remaining. ...",https://www.scholarshipportal.com/scholarship/sato-yo-international-scholarship-foundation,Bachelor,EUR 1000,01-Dec-22,NA
Honjo International Scholarship Foundation,The scholarship is available to graduate level students and is sponsored by the Honjo International Scholarship Foundation. ...,https://www.scholarshipportal.com/scholarship/honjo-international-scholarship-foundation,"Master, , Phd",EUR 1400,01-Nov-22,NA
UANDES PDT Scholarship (Private Schools),"The UANDES PDT Scholarship (Private Schools) is an automatically assigned academic scholarship, in which they grant you a discount on the fee, if you are called in the race and meet the required weighted score. ...",https://www.scholarshipportal.com/scholarship/uandes-pdt-scholarship-private-schools,"Bachelor, , Master, , Phd",30% and 100% in tuition fees,NA,NA
The Iwatani Naoji Foundation,"The scholarship is available to students from the graduate level, who have been admitted to a Master's or Doctorate course at the university. ...",https://www.scholarshipportal.com/scholarship/the-iwatani-naoji-foundation,"Master, , Phd",EUR 1000,01-Dec-22,NA
Chinese Government Scholarship--Bilateral Program (Type A),"The Ministry of Education of China will provide full scholarships or partial scholarships in accordance with the education cooperation and exchange agreements or memorandums concluded with relevant governments, institutions, schoo...",https://www.scholarshipportal.com/scholarship/chinese-government-scholarship-bilateral-program-type-a,"Bachelor, , Master, , Phd",Full coverage for tuition fees.,NA,NA
SEMPER SOLARIS,"Semper Solaris is also involved in many philanthropic initiatives, partnering with nonprofits such as Warrior Foundation Freedom Station to offer solar energy to veterans in need at no cost. Students are the future of solar energy...",https://www.scholarshipportal.com/scholarship/semper-solaris,"Master, Bachelor, Phd",Up to $3000,11-Nov-22,NA
International MPhil Scholarships,"The programme is available for the academic year 2022-2023. The scholarships will support full-time undergraduate, PhD and MPhil students to undertake academic courses and research in a broad range of areas in Africa . ...",https://www.scholarshipportal.com/scholarship/international-m-phil-scholarships,"Master, Bachelor, Phd, Course",$3000,27-Nov-23,NA
Chinese Government Scholarship – Excellence Scholarship for International Student Program,"Chinese Government Scholarship – Excellence Scholarship for International Student Program is available to current students, who are on their second year or above full-time bachelor’s/master’s/doctoral programmes. ...",https://www.scholarshipportal.com/scholarship/chinese-government-scholarship-excellence-scholarship-for-international-student-program,"Bachelor, , Master, , Phd",EUR 4300,NA,NA
Global Scholarship Program (GSP),Global Scholarship Program (GSP) is available to all students from partner institutions that want to study at CNU for a semester or a year. ...,https://www.scholarshipportal.com/scholarship/global-scholarship-program-gsp,"Bachelor, , Master, , Phd",One-time stipend of EUR 370 - EUR 750,NA,NA
Chengdu Government Scholarships for International Students from Sister Cities,Chengdu Government Scholarships for International Students from Sister Cities is available to all international students that are applying to Chengdu University for undergraduate and graduate programmes. ...,https://www.scholarshipportal.com/scholarship/chengdu-government-scholarships-for-international-students-from-sister-cities,"Bachelor, , Master",Up to EUR 2800 per year,NA,NA
Chengdu University Scholarships for International Students,Chengdu University Scholarships for International Students is available to all international students that are applying to Chengdu University for undergraduate and graduate programmes. ...,https://www.scholarshipportal.com/scholarship/chengdu-university-scholarships-for-international-students,"Bachelor, , Master",Up to EUR 2800 per year,NA,NA
Wangtao Scholarship,"Wangtao Scholarship awarded to students with extraordinary performance, behavior and contributions in academics, arts, sports and social practice. ...",https://www.scholarshipportal.com/scholarship/wangtao-scholarship,"Bachelor, , Master, , Phd",EUR 120,NA,NA
"Chengdu Government ""One Belt and One Road"" Scholarships for International Students","Chengdu Government ""One Belt and One Road"" Scholarships for International Students is available to all international students that are applying to Chengdu University for undergraduate and graduate programmes. ...",https://www.scholarshipportal.com/scholarship/chengdu-government-one-belt-and-one-road-scholarships-for-international-students,"Bachelor, , Master",Up to EUR 2800 per year,NA,NA
Professor Scholarship,Professor Scholarship is available to students who are working as a professor in a foreign university that is acknowledge by CBNU. ...,https://www.scholarshipportal.com/scholarship/professor-scholarship,Phd,100% tuition fee exemption.,NA,NA
Link Scholarship,Link Scholarship is available to students who have completed the Korean Language Program from Jeonbuk National University ...,https://www.scholarshipportal.com/scholarship/link-scholarship,"Master, , Phd",Tuition fee exemption from 25% to 100%,NA,NA
Acedemic Performance Scholarship,"Academic Performance Scholarship is available to students who have a high level of language proficiency, and high academic grade. ...",https://www.scholarshipportal.com/scholarship/acedemic-performance-scholarship,"Master, , Phd",Tuition fee exemption from 25% to 100%,NA,NA
MOFCOM Scholarship,MOFCOM Scholarship is set up by Ministry of Commerce of People’s Republic of China to further strengthen the communication and cooperation between China and other countries as well as to develop talents for developing countries. ...,https://www.scholarshipportal.com/scholarship/mofcom-scholarship,"Master, , Phd",• Monthly stipend approximately EUR 5000 per year,NA,NA
Excellent Leadership Scholarship,"Excellent Leadership Scholarship is available to current students of the university, who demonstrated an excellent leaderships during their time in a leadership position in the International Student Union. ...",https://www.scholarshipportal.com/scholarship/excellent-leadership-scholarship,"Bachelor, , Master, , Phd",EUR 140,NA,NA
Professor Vlček Scholarship,"The Professor Miroslav Vlček scholarship is awarded to a foreign student who, in addition to fulfilling his/her study duties, has contributed to the dissemination of the reputation of the Czech Technical University in the Czech Re...",https://www.scholarshipportal.com/scholarship/professor-vlcek-scholarship,Master,EUR 1200 per year,NA,NA
CTU Scholarships,The scholarship is intended for foreign students who wish to take a Master study programme at CTU and who display qualities that entitle them to the award of this scholarship. ...,https://www.scholarshipportal.com/scholarship/ctu-scholarships,Master,EUR 400 per month,NA,NA
Science and Engineering Financial Hardship Bursary,"Science and Engineering Financial Hardship Bursary is for students who want to apply to QUT courses, but have financial hardships. ...",https://www.scholarshipportal.com/scholarship/science-and-engineering-financial-hardship-bursary,"Bachelor, , Master, , Phd","$1,500 for one year",NA,NA
Heiwa Nakajima Foundation - Graduate School Level,"The scholarship is available to graduate students, and is sponsored by the Heiwa Nakajima Foundation. ...",https://www.scholarshipportal.com/scholarship/heiwa-nakajima-foundation-graduate-school-level,"Master, , Phd",EUR 850,01-Oct-22,NA
Heiwa Nakajima Foundation - Undergraduate level,"The scholarship is for undergraduate students, and is funded by Heiwa Nakajima Foundation. ...",https://www.scholarshipportal.com/scholarship/heiwa-nakajima-foundation-undergraduate-level,Bachelor,EUR 700,01-Oct-22,NA
44 Two-Year Scholarships,"It is announced a competition for merit for the award of 44 scholarships of two-years duration, addressed to students graduates in non-Italian Universities and enrolled in their University in a Master’s Degree Programme ...",https://www.scholarshipportal.com/scholarship/44-two-year-scholarships,Master,€4.300,13-Sep-22,NA
International Post-degree Scholarship,"Intended for holders of a master's degree, single-cycle master's degree or unitary course, obtained at Sapienza University of Rome. ...",https://www.scholarshipportal.com/scholarship/international-post-degree-scholarship,"Master, , Phd",€1.290,13-Sep-22,NA
Research Training Program (RTP) Stipend Scholarship,"The Research Training Program (RTP) Stipend is a prestigious scholarship, funded by the Australian federal government to provide financial support to exceptional students. ...",https://www.scholarshipportal.com/scholarship/research-training-program-rtp-stipend-scholarship,"Master, , Phd","$28,854 (AUD)",NA,NA
