title_name,title_level,title_amount,title_deadline,title_criterion,title_url
SEMPER SOLARIS,"Master, Bachelor, Phd",Up to $3000,11-Nov-22,"Applicant must be a current freshman, sophomore, junior, senior, graduate student, or attending a military academy.",https://www.sempersolaris.com/semper-cares-initiative/scholarships/
International MPhil Scholarships,"Master, Bachelor, Phd, Course",$3000,27-Nov-23,Must be a citizen of the regions where we operate that are listed on our website.,https://ahfgrants.com/
Chinese Government Scholarship – Excellence Scholarship for International Student Program,"Bachelor, , Master, , Phd",EUR 4300,,"• Second year or above full-time bachelor’s/master’s/doctoral students • This scholarship is merit-based. In principle, individual student could only be awarded once during their entire studies.",http://cie.upc.edu.cn/admission_en/info/1210/1212.htm
Global Scholarship Program (GSP),"Bachelor, , Master, , Phd",One-time stipend of EUR 370 - EUR 750,,• Be an international student from partner institutions with an agreement that you can study at CNU,https://plus.cnu.ac.kr/html/en/sub01/sub01_010504.html
Chengdu Government Scholarships for International Students from Sister Cities,"Bachelor, , Master",Up to EUR 2800 per year,,"• Students with scholarships will be assessed every year based on their attendance, academic record and performance to decide if they can continue to win the scholarship next year. • Students who win a scholarship should pay tuition, accommodation and insurance prior to their entitlement to the scholarship every semester.",https://en.cdu.edu.cn/Admission/Scholarship.htm
Chengdu University Scholarships for International Students,"Bachelor, , Master",Up to EUR 2800 per year,,"• Degree students with scholarships will be assessed every year based on their attendance, academic record and performance to decide if they can continue to win the scholarship next year. Students who win a scholarship should pay tuition, accommodation and insurance prior to their entitlement to the scholarship every semester. • Non-degree students can apply for a scholarship at the end of the first semester, and, if qualified, receive the scholarship at the beginning of the second semester.",
Wangtao Scholarship,"Bachelor, , Master, , Phd",EUR 120,,"• Candidates should be a degree student. • Candidates should abide by Chinese laws and university regulations, and not have any record of discipline violations. • Candidates should have taken some position in student societies, actively participated in university events and contribute to international student affairs. • Candidates should be in their third year of study, never fail any exam, be rated top 20% in their majors and have HSK 4 or above • Candidates should have strong research abilities, actively participated in social practice and scientific innovation activities.",http://cie.upc.edu.cn/admission_en/info/1210/1210.htm
"Chengdu Government ""One Belt and One Road"" Scholarships for International Students","Bachelor, , Master",Up to EUR 2800 per year,,"• Students with scholarships will be assessed every year based on their attendance, academic record and performance to decide if they can continue to win the scholarship next year. • Students who win a scholarship should pay tuition, accommodation and insurance prior to their entitlement to the scholarship every semester.",
Professor Scholarship,Phd,100% tuition fee exemption.,,• Students working as a professor in a foreign university that is acknowledge by CBNU are qualified for an entire tuition fee exemption. • There are a limited number for each university and it's only available for doctoral candidate,https://www.jbnu.ac.kr/eng/?menuID=344
Link Scholarship,"Master, , Phd",Tuition fee exemption from 25% to 100%,,• Those who have completed the Korean Language Program from Jeonbuk National University • Condition : more than 2 terms to 4 terms Students who have attained • Tuition fee exemption from 25% to 100%,
Acedemic Performance Scholarship,"Master, , Phd",Tuition fee exemption from 25% to 100%,,"• According to Language Proficiency and Academic grade • Certificate of Language proficiency : TOEFL(CBT, iBT), IELTS, TEPS • Tuition fee exemption from 25% to 100%",
MOFCOM Scholarship,"Master, , Phd",• Monthly stipend approximately EUR 5000 per year,,"• Be a citizen of a developing country other than the People’s Republic of China, and under the age of 45 (born after September 1, 1976); • Be physically and mentally healthy with a physical examination report issued by a local public hospital, and not having any disease or situation listed below: • Diseases prohibited by Chinese Entry-Exit Inspection and Quarantine Laws and Regulations; • Other severe chronic diseases like high blood pressure, cardio-cerebrovascular disease, diabetes; psychological diseases; or other infectious diseases which may harm public health; • In recovery period after major surgery or acute disease attacks; • Severe physically challenged; • Pregnancy; • Be a bachelor's degree holder when applying for master's program, with at least three years' working experience; • Be incumbents with a relevant educational background or working experience to the applied program are preferred; • Be public officials of division level and above (or corresponding level) in government sectors, or senior management staff of organizations and enterprises, or academic backbones of universities and research institutions; • Be sufficient in English which meets the academic requirements of the program, be equivalent to IELTS 6.0 or TOEFL 80 and above level; • Be with the potential of professional development, and is committed to promoting the friendly exchanges and cooperation between the host country and China; • Be neither studying in China nor being admitted to other scholarship programs provided by Chinese government.",http://cie.bjtu.edu.cn/erjiEnzh/1.htm
Excellent Leadership Scholarship,"Bachelor, , Master, , Phd",EUR 140,,"• Students should have taken a student monitor position or a leadership position in the International Student Union for over one year. • Students should be diligent, responsible and supportive to other students as well as the university. • Students who owe tuition or accommodation fee are not eligible to get into this scholarship selection. • Students who violated Chinese laws or university regulations are not eligible to get into this scholarship selection.",http://cie.upc.edu.cn/admission_en/info/1210/1207.htm
Professor Vlček Scholarship,Master,EUR 1200 per year,,"• The main criterion for assessing a foreign student’s application for a scholarship is his/ her proven active involvement in research, educational or other activities for the benefit of foreign students of CTU, contributing to the motivation of foreign candidates to apply to study in Prague. • The scholarship will not be awarded to a student who is subject to disciplinary proceedings or whose studies are interrupted.",https://international.cvut.cz/students/current-students/professor-vlcek-scholarship/
CTU Scholarships,Master,EUR 400 per month,,"• The scholarship is intended for foreign doctoral students who are capable of doing scientific work and studying on a doctoral programme in English language at CTU in Prague, and who display qualities that entitle them to the award of this scholarship. • The following students are not eligible for this scholarship: Erasmus students at CTU, Erasmus Mundus students at CTU, Exchange students at CTU, CTU foreing students receiving a government scholarship, and other scholarship holders.",https://international.cvut.cz/students/incoming-students/ctu-scholarships/
Excellence in Ethics Scholarship,"Bachelor, , Master, , Phd",EUR 400,,"• Students should have excellent moral qualities and contributions to the university and students, and take an exemplary role amongst all students. • Students who owe tuition or accommodation fee are not eligible to get into this scholarship selection. • Students who violated Chinese laws or university regulations are not eligible to get into this scholarship selection.",http://cie.upc.edu.cn/admission_en/info/1210/1206.htm
Arts and Sports Activity Scholarship,"Bachelor, , Master, , Phd",EUR 120,,"• Students should have participated in arts or sports competitions at national, provincial and municipal levels and owned prizes. • Students who owe tuition or accommodation fee are not eligible to get into this scholarship selection. • Students who violated Chinese laws or university regulations are not eligible to get into this scholarship selection.",http://cie.upc.edu.cn/admission_en/info/1210/1208.htm
CTU Grants for Study Abroad,Master,EUR 480 per month,,"• To support student mobility, the rector of CTU in Prague announces the establishment of a special-purpose fund for students going to study abroad under the ERASMUS program, or similar European programs. • Financial resources set aside to support student mobility are intended for students of the Czech Technical University in Prague who go on long-term study stays within the framework of the ERASMUS program, or similar European programs.",https://portal.cvut.cz/informace-pro-studenty/stipendia-nadace-granty/granty-cvut-na-studium-v-zahranici/
